word,definition
carp,the lean flesh of a fish that is often farmed; can be baked or braised
cart,a heavy open wagon usually having two wheels and drawn by an animal
case,an occurrence of something
cash,money in the form of bills or coins
cask,the quantity a cask will hold
cast,the actors in a play
caul,part of the peritoneum attached to the stomach and to the colon and covering the intestines
cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
cavy,short-tailed rough-haired South American rodent
cede,give over; surrender or relinquish to the physical control of another
cell,any small compartment
celt,a member of a European people who once occupied Britain and Spain and Gaul prior to Roman times
cent,a fractional monetary unit of several countries
cere,"the fleshy, waxy covering at the base of the upper beak of some birds"
cero,large edible mackerel of temperate United States coastal Atlantic waters
cest,being ten more than ninety
chad,a small piece of paper that is supposed to be removed when a hole is punched in a card or paper tape
chap,a boy or man
char,a charred substance
chat,an informal conversation
chaw,a wad of something chewable as tobacco
chef,a professional cook
chen,wild goose having white adult plumage
chew,a wad of something chewable as tobacco
chic,elegance by virtue of being fashionable
chid,censure severely or angrily
chin,the protruding part of the lower jaw
chip,a small fragment of something broken off from the whole
chit,a dismissive term for a girl who is immature or who lacks respect
chop,the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)
chou,the imperial dynasty of China from 1122 to 221 BC; notable for the rise of Confucianism and Taoism
chow,the imperial dynasty of China from 1122 to 221 BC; notable for the rise of Confucianism and Taoism
chub,European freshwater game fish with a thick spindle-shaped body
chug,the dull explosive noise made by an engine
chum,a close friend who accompanies his buddies in their activities
cite,a short note recognizing a source of information or of a quoted passage
city,a large and densely populated urban area; may include several independent administrative districts
cive,perennial having hollow cylindrical leaves used for seasoning
clad,provide with clothes or put clothes on
clam,burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness
clan,group of people related by blood or marriage
clap,a sudden very loud noise
claw,sharp curved horny process on the toe of a bird or some mammals or reptiles
clay,a very fine-grained soil that is plastic when moist but hard when fired
clef,a musical notation written on a staff indicating the pitch of the notes following it
cleg,large swift fly the female of which sucks blood of various animals
clew,a ball of yarn or cord or thread
clio,(Greek mythology) the Muse of history
clip,a metal frame or container holding cartridges; can be inserted into an automatic gun
clit,a female sexual organ homologous to the penis
clod,a compact mass
clog,footwear usually with wooden soles
clop,the sound of a horse's hoofs hitting on a hard surface
clot,a lump of material formed from the content of a liquid
cloy,supply or feed to surfeit
club,a team of professional baseball players who play and travel together
clue,a slight indication
coal,fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
coat,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
coax,a transmission line for high-frequency signals
coca,a South American shrub whose leaves are chewed by natives of the Andes; a source of cocaine
cock,obscene terms for penis
coco,tall palm tree bearing coconuts as fruits; widely planted throughout the tropics
coda,the closing section of a musical composition
code,a set of rules or principles or laws (especially written ones)
coho,fatty pinkish flesh of small salmon caught in the Pacific and Great Lakes
coif,the arrangement of the hair (especially a woman's hair)
coil,a structure consisting of something wound in a continuous series of loops
coin,a flat metal piece (usually a disc) used as money
coir,stiff coarse fiber from the outer husk of a coconut
coke,carbon fuel produced by distillation of coal
cola,large genus of African trees bearing kola nuts
cold,a mild viral infection involving the nose and respiratory passages (but not the lungs)
cole,a hardy cabbage with coarse curly leaves that do not form a head
colt,a young male horse under the age of four
coma,a state of deep and often prolonged unconsciousness; usually the result of disease or injury
comb,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair
come,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
cone,any cone-shaped artifact
conk,informal term for the nose
conn,conduct or direct the steering of a ship or plane
cony,any of several small ungulate mammals of Africa and Asia with rodent-like incisors and feet with hooflike toes
cook,someone who cooks food
cool,the quality of being at a refreshingly low temperature
coon,an eccentric or undignified rustic
coop,a farm building for housing poultry
coos,the sound made by a pigeon
coot,slate-black slow-flying birds somewhat resembling ducks
cope,brick that is laid sideways at the top of a wall
copt,an Egyptian descended from the ancient Egyptians
copy,a reproduction of a written record (e.g. of a legal or school record)
cora,(Greek mythology) daughter of Zeus and Demeter; made queen of the underworld by Pluto in ancient mythology; identified with Roman Proserpina
cord,a line made of twisted fibers or threads
core,a small group of indispensable persons or things
cork,outer bark of the cork oak; used for stoppers for bottles etc.
corm,solid swollen underground bulb-shaped stem or stem base and serving as a reproductive structure
corn,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
corp,a business firm whose articles of incorporation have been approved in some state
cosh,a piece of metal covered by leather with a flexible handle; used for hitting people
coss,(in India) a unit of length having different values in different localities
cost,the total spent for goods or services including money and time and labor
cosy,a padded cloth covering to keep a teapot warm
cote,a small shelter for domestic animals (as sheep or pigeons)
coue,"French psychotherapist who claimed that if one imagined one was getting better, one would get better (1857-1926)"
coup,a sudden and decisive change of government illegally or by force
cove,a small inlet
cowl,protective covering consisting of a metal part that covers the engine
coxa,the ball-and-socket joint between the head of the femur and the acetabulum
cozy,a padded cloth covering to keep a teapot warm
crab,decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers
crag,a steep rugged rock or cliff
cram,crowd or pack to capacity
cran,a capacity unit used for measuring fresh herring
crap,obscene terms for feces
craw,a pouch in many birds and some lower animals that resembles a stomach for storage and preliminary maceration of food
crax,type genus of the Cracidae: curassows
cree,a member of an Algonquian people living in central Canada
crew,"the men and women who man a vehicle (ship, aircraft, etc.)"
crex,corncrakes
crib,baby bed with high sides made of slats
crop,the yield from plants in a single growing season
crow,black birds having a raucous call
crus,the leg from the knee to foot
crux,a small conspicuous constellation in the southern hemisphere in the Milky Way near Centaurus
cuba,a communist state in the Caribbean on the island of Cuba
cube,a hexahedron with six equal squares as faces
cuff,the lap consisting of a turned-back hem encircling the end of the sleeve or leg
cuke,cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons
cull,the person or thing that is rejected or set aside as inferior in quality
culm,stem of plants of the Gramineae
cult,followers of an exclusive system of religious beliefs and practices
cuon,Asiatic wild dog
curb,an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)
curd,a coagulated liquid resembling milk curd
cure,a medicine or therapy that cures disease or relieve pain
curl,a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
curt,marked by rude or peremptory shortness
cusk,the lean flesh of a cod-like fish of North Atlantic waters
cusp,point formed by two intersecting arcs (as from the intrados of a Gothic arch)
cuss,a persistently annoying person
cute,attractive especially by means of smallness or prettiness or quaintness
cyan,a primary subtractive color for light; has a blue-green color
cyma,(architecture) a molding for a cornice; in profile it is shaped like an S (partly concave and partly convex)
cyme,more or less flat-topped cluster of flowers in which the central or terminal flower opens first
cyst,a closed sac that develops abnormally in some body structure
czar,a male monarch or emperor (especially of Russia prior to 1917)
dace,small European freshwater fish with a slender bluish-green body
dada,an informal term for a father; probably derived from baby talk
dado,panel forming the lower part of an interior wall when it is finished differently from the rest of the wall
daft,informal or slang terms for mentally irregular
dago,(ethnic slur) offensive term for a person of Italian descent
dags,10 grams
dail,the lower house of the parliament of the Irish Republic
dais,a platform raised above the surrounding level to give prominence to the person on it
dale,an open river valley (in a hilly area)
dali,surrealist Spanish painter (1904-1989)
dama,fallow deer
dame,informal terms for a (young) woman
damn,something of little value
damp,a slight wetness
dana,Celtic goddess who was the mother of the Tuatha De Danann; identified with the Welsh Don
dane,a native or inhabitant of Denmark
dank,unpleasantly cool and humid
dard,any of a group of Indic languages spoken in Kashmir and eastern Afghanistan and northern Pakistan
dare,a challenge to do something dangerous or foolhardy
dari,an Iranian language spoken in Afghanistan
dark,absence of light or illumination
darn,something of little value
dart,a small narrow pointed missile that is thrown or shot
dash,distinctive and stylish elegance
data,a collection of facts from which conclusions may be drawn
date,the specified day of the month
daub,material used to daub walls
davy,English chemist who was a pioneer in electrochemistry and who used it to isolate elements sodium and potassium and barium and boron and calcium and magnesium and chlorine (1778-1829)
dawn,the first light of day
days,the time during which someone's life continues
daze,the feeling of distress and disbelief that you have when something bad happens accidentally
dead,people who are no longer living
deaf,people who have severe hearing impairments
deal,a particular instance of buying or selling
dean,an administrator in charge of a division of a university or college
dear,a beloved person; used as terms of endearment
debt,the state of owing something (especially money)
deck,any of various platforms built into a vessel
deed,a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it
deem,keep in mind or convey as a conviction or view
deep,the central and most intense or profound part
deer,distinguished from Bovidae by the male's having solid deciduous antlers
deft,skillful in physical movements; especially of the hands
defy,resist or confront with resistance
delf,an excavation; usually a quarry or mine
dell,a small wooded hollow
dent,an appreciable consequence (especially a lessening)
deny,declare untrue; contradict
desk,a piece of furniture with a writing surface and usually drawers or other compartments
dess,a potent estrogen used in medicine and in feed for livestock and poultry
dewy,wet with dew
dhak,East Indian tree bearing a profusion of intense vermilion velvet-textured blooms and yielding a yellow dye
dhow,a lateen-rigged sailing vessel used by Arabs
dial,the face of a timepiece; graduated to show the hours
dibs,a claim of rights
dice,a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
dick,someone who is a detective
didn,
dido,(Roman mythology) a princess of Tyre who was the founder and queen of Carthage; Virgil tells of her suicide when she was abandoned by Aeneas
diet,a prescribed selection of foods
digs,an excavation for ore or precious stones or for archaeology
dika,African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites
dike,(slang) offensive term for a lesbian who is noticeably masculine
dill,aromatic Old World herb having aromatic threadlike foliage and seeds used as seasoning
dime,a United States coin worth one tenth of a dollar
dine,have supper; eat dinner
ding,a ringing sound
dink,a couple who both have careers and no children (an acronym for dual income no kids)
dint,interchangeable with `means' in the expression `by means of'
diol,any of a class of alcohols having 2 hydroxyl groups in each molecule
dire,fraught with extreme danger; nearly hopeless; ; - G.C.Marshall
dirk,a relatively long dagger with a straight blade
dirt,the part of the earth's surface consisting of humus and disintegrated rock
disa,any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions
disc,sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove
dish,a piece of dishware normally used as a container for holding or serving food
disk,something with a round shape resembling a flat circular plate
diss,god of the underworld; counterpart of Greek Pluto
dita,evergreen tree of eastern Asia and Philippines having large leathery leaves and small green-white flowers in compact cymes; bark formerly used medicinally
diva,a distinguished female operatic singer; a female operatic star
dive,a cheap disreputable nightclub or dance hall
dock,an enclosure in a court of law where the defendant sits during the trial
dodo,someone whose style is out of fashion
doer,a person who acts and gets things done
does,the federal department responsible for maintaining a national energy policy of the United States; created in 1977
doff,remove
doge,formerly the chief magistrate in the republics of Venice and Genoa
dogs,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
dogy,motherless calf in a range herd of cattle
dole,a share of money or food or clothing that has been charitably given
doll,a small replica of a person; used as a toy
dolt,a person who is not very bright
dome,a concave shape whose distinguishing characteristic is that the concavity faces downward
done,engage in
dong,the basic unit of money in Vietnam
doob,trailing grass native to Europe now cosmopolitan in warm regions; used for lawns and pastures especially in southern United States and India
doom,an unpleasant or disastrous destiny
door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
dopa,amino acid that is formed in the liver and converted into dopamine in the brain
dope,street names for marijuana
dorm,a college or university building containing living quarters for students
dory,a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled
dose,a measured portion of medicine taken at any one time
doss,the federal department in the United States that sets and maintains foreign policies
dote,be foolish or senile due to old age
dour,stubbornly unyielding; ; ; ; - T.S.Eliot
dove,any of numerous small pigeons
down,soft fine feathers
doxy,a woman who cohabits with an important man
doze,a light fitful sleep
dozy,half asleep
drab,a dull greyish to yellowish or light olive brown
drag,the phenomenon of resistance to motion through a fluid
dram,a unit of apothecary weight equal to an eighth of an ounce or to 60 grains
draw,a gully that is shallower than a ravine
dray,a low heavy horse cart without sides; used for haulage
dreg,a small amount of residue
drew,United States actor (born in Ireland); father of Georgiana Emma Barrymore (1827-1862)
drib,a small indefinite quantity (especially of a liquid); ; ; ; --Kipling
drip,flowing in drops; the formation and falling of drops of liquid
drop,a shape that is spherical and small
drub,beat thoroughly and conclusively in a competition or fight
drug,a substance that is used as a medicine or narcotic
drum,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
duad,two items of the same kind
dual,consisting of or involving two parts or components usually in pairs
dubs,the new sounds added by dubbing
duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
duct,a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance
dude,an informal form of address for a man
duel,a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor
duer,owed and payable immediately or on demand
duet,two items of the same kind
duff,a stiff flour pudding steamed or boiled usually and containing e.g. currants and raisins and citron
duke,a British peer of the highest rank
dull,make dull in appearance
duly,at the proper time
duma,a legislative body in the ruling assembly of Russia and of some other republics in the former USSR
