word,word_length,starts_with,ends_with,has_definition,definition_count,part_of_speech,definition,examples,synset_name
180,3,1,0,True,1,s,being ten more than one hundred seventy,,one_hundred_eighty.s.01
1880s,5,1,s,True,1,n,the decade from 1880 to 1889,,eighties.n.01
1890s,5,1,s,True,1,n,the decade from 1890 to 1899,,nineties.n.01
18th,4,1,h,True,1,s,coming next after the seventeenth in position,,eighteenth.s.01
1920s,5,1,s,True,1,n,the decade from 1920 to 1929,,twenties.n.02
1930s,5,1,s,True,1,n,the decade from 1930 to 1939,,thirties.n.02
1940s,5,1,s,True,1,n,the decade from 1940 to 1949,,forties.n.02
1950s,5,1,s,True,1,n,the decade from 1950 to 1959,,fifties.n.01
1960s,5,1,s,True,1,n,the decade from 1960 to 1969,,sixties.n.01
1970s,5,1,s,True,1,n,the decade from 1970 to 1979,,seventies.n.01
19th,4,1,h,True,1,s,coming next after the eighteenth in position,,nineteenth.s.01
200,3,2,0,True,1,s,being ten more than one hundred ninety,,two_hundred.s.01
20th,4,2,h,True,1,s,coming next after the nineteenth in position,,twentieth.s.01
21st,4,2,t,True,1,s,coming next after the twentieth in position,,twenty-first.s.01
22nd,4,2,d,True,1,s,coming next after the twenty-first in position,,twenty-second.s.01
23rd,4,2,d,True,1,s,coming next after the twenty-second in position,,twenty-third.s.01
24th,4,2,h,True,1,s,coming next after the twenty-third in position,,twenty-fourth.s.01
25th,4,2,h,True,1,s,coming next after the twenty-fourth in position,,twenty-fifth.s.01
26th,4,2,h,True,1,s,coming next after the twenty-fifth in position,,twenty-sixth.s.01
27th,4,2,h,True,1,s,coming next after the twenty-sixth in position,,twenty-seventh.s.01
28th,4,2,h,True,1,s,coming next after the twenty-seventh in position,,twenty-eighth.s.01
29th,4,2,h,True,1,s,coming next after the twenty-eighth in position,,twenty-ninth.s.01
2nd,3,2,d,True,1,s,coming next after the first in position in space or time or degree or magnitude,,second.s.01
300,3,3,0,True,1,s,being one hundred more than two hundred,,three_hundred.s.01
300th,5,3,h,True,1,s,the ordinal number of three hundred in counting order,,three-hundredth.s.01
30th,4,3,h,True,1,s,coming next after the twenty-ninth in position,,thirtieth.s.01
31st,4,3,t,True,1,s,coming next after the thirtieth in position,,thirty-first.s.01
36th,4,3,h,True,1,s,the ordinal number of thirty-six in counting order,,thirty-sixth.s.01
37th,4,3,h,True,1,s,the ordinal number of thirty-seven in counting order,,thirty-seventh.s.01
3rd,3,3,d,True,1,s,coming next after the second and just before the fourth in position,,third.s.01
400,3,4,0,True,1,s,being one hundred more than three hundred,,four_hundred.s.01
46th,4,4,h,True,1,s,the ordinal number of forty-six in counting order,,forty-sixth.s.01
49th,4,4,h,True,1,s,the ordinal number of forty-nine in counting order,,forty-ninth.s.01
4th,3,4,h,True,1,s,coming next after the third and just before the fifth in position or time or degree or magnitude,the quaternary period of geologic time extends from the end of the tertiary period to the present,fourth.s.01
500,3,5,0,True,2,n,the cardinal number that is the product of one hundred and five,,five_hundred.n.01
50th,4,5,h,True,1,s,the ordinal number of fifty in counting order,,fiftieth.s.01
5th,3,5,h,True,1,s,coming next after the fourth and just before the sixth in position,,fifth.s.01
6th,3,6,h,True,1,s,coming next after the fifth and just before the seventh in position,,sixth.s.01
70th,4,7,h,True,1,s,the ordinal number of seventy in counting order,,seventieth.s.01
75th,4,7,h,True,1,s,the ordinal number of seventy-five in counting order,,seventy-fifth.s.01
7th,3,7,h,True,1,s,coming next after the sixth and just before the eighth in position,,seventh.s.01
80th,4,8,h,True,1,s,the ordinal number of eighty in counting order,,eightieth.s.01
8th,3,8,h,True,1,s,coming next after the seventh and just before the ninth in position,,eighth.s.01
9-11,4,9,1,True,1,n,the day in 2001 when Arab suicide bombers hijacked United States airliners and used them as bombs,,9/11.n.01
9th,3,9,h,True,1,s,coming next after the eighth and just before the tenth in position,,ninth.s.01
a-bombs,7,a,s,True,1,n,a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239),,atom_bomb.n.01
a.d.,4,a,.,True,1,r,in the Christian era; used before dates after the supposed year Christ was born,in AD 200,ad.r.01
a.m.,4,a,.,True,2,s,before noon,,ante_meridiem.s.01
aaa,3,a,a,True,1,n,an aneurysm of the abdominal aorta associated with old age and hypertension,,abdominal_aortic_aneurysm.n.01
aah,3,a,h,True,1,v,express admiration and pleasure by uttering `ooh' or `aah',They oohed and aahed when they unwrapped the presents,ooh.v.01
aaron,5,a,n,True,2,n,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934),,aaron.n.01
aback,5,a,k,True,2,r,having the wind against the forward side of the sails,the ship came up into the wind with all yards aback,aback.r.01
abandon,7,a,n,True,7,n,the trait of lacking restraint or control; reckless freedom from inhibition or worry,she danced with abandon,abandon.n.01
abated,6,a,d,True,2,v,make less active or intense,,slake.v.02
abbe,4,a,e,True,1,n,a French abbot,,abbe.n.01
abbey,5,a,y,True,3,n,a church associated with a monastery or convent,,abbey.n.01
abbot,5,a,t,True,1,n,the superior of an abbey of monks,,abbot.n.01
abc,3,a,c,True,1,n,the elementary stages of any subject (usually plural),he mastered only the rudiments of geometry,rudiment.n.01
abdomen,7,a,n,True,2,n,the region of the body of a vertebrate between the thorax and the pelvis,,abdomen.n.01
abed,4,a,d,True,1,r,in bed,,abed.r.01
abel,4,a,l,True,2,n,Norwegian mathematician (1802-1829),,abel.n.01
abetted,7,a,d,True,1,v,"assist or encourage, usually in some wrongdoing",,abet.v.01
abide,5,a,e,True,2,v,dwell,You can stay with me while you are in town; stay a bit longer--the day is still young,bide.v.01
abides,6,a,s,True,2,v,dwell,You can stay with me while you are in town; stay a bit longer--the day is still young,bide.v.01
abiding,7,a,g,True,3,v,dwell,You can stay with me while you are in town; stay a bit longer--the day is still young,bide.v.01
abilene,7,a,e,True,2,n,a city in central Texas,,abilene.n.01
ability,7,a,y,True,2,n,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,,ability.n.01
abject,6,a,t,True,4,s,of the most contemptible kind,abject cowardice; a low stunt to pull; a low-down sneak; his miserable treatment of his family; You miserable skunk!; a scummy rabble; a scurvy trick,abject.s.01
ablated,7,a,d,True,3,v,wear away through erosion or vaporization,,ablate.v.01
ablaze,6,a,e,True,4,s,keenly excited (especially sexually) or indicating excitement; - Bram Stoker,his face all ablaze with excitement; he was aflame with desire,ablaze.s.01
able,4,a,e,True,4,a,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,able to swim; she was able to program her computer; we were at last able to buy a car; able to get a grant for the project,able.a.01
abler,5,a,r,True,4,a,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,able to swim; she was able to program her computer; we were at last able to buy a car; able to get a grant for the project,able.a.01
ably,4,a,y,True,1,r,with competence; in a competent capable manner,they worked competently,competently.r.01
abo,3,a,o,True,1,n,a dark-skinned member of a race of people living in Australia when Europeans arrived,,aborigine.n.02
aboard,6,a,d,True,4,r,"on a ship, train, plane or other vehicle",,aboard.r.01
abode,5,a,e,True,4,n,any address at which you dwell more than temporarily,a person can have several residences,residence.n.01
abolish,7,a,h,True,1,v,do away with,Slavery was abolished in the mid-19th century in America and in Russia,abolish.v.01
abound,6,a,d,True,2,v,be abundant or plentiful; exist in large quantities,,abound.v.01
abounds,7,a,s,True,2,v,be abundant or plentiful; exist in large quantities,,abound.v.01
about,5,a,t,True,8,s,on the move,up and about; the whole town was astir over the incident,about.s.01
above,5,a,e,True,4,n,an earlier section of a written text,for instructions refer to the above,above.n.01
abraham,7,a,m,True,1,n,"the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son","Judaism, Christianity, and Islam each has a special claim on Abraham",abraham.n.01
abreast,7,a,t,True,2,s,being up to particular standard or level especially in being up to date in knowledge,kept abreast of the latest developments; constant revision keeps the book au courant; always au fait on the latest events; up on the news,abreast.s.01
abroad,6,a,d,True,4,s,in a foreign country,markets abroad; overseas markets,abroad.s.01
abrupt,6,a,t,True,4,s,marked by sudden changes in subject and sharp transitions,abrupt prose,abrupt.s.01
absence,7,a,e,True,4,n,the state of being absent,he was surprised by the absence of any explanation,absence.n.01
absent,6,a,t,True,4,v,go away or leave,He absented himself,absent.v.01
absorb,6,a,b,True,9,v,become imbued,"The liquids, light, and gases absorb",absorb.v.01
absorbs,7,a,s,True,9,v,become imbued,"The liquids, light, and gases absorb",absorb.v.01
abstain,7,a,n,True,2,v,refrain from voting,,abstain.v.01
absurd,6,a,d,True,3,n,a situation in which life seems irrational and meaningless; --Albert Camus,The absurd is the essential concept and the first truth,absurd.n.01
abuse,5,a,e,True,7,n,cruel or inhumane treatment,the child showed signs of physical abuse,maltreatment.n.01
abused,6,a,d,True,6,v,treat badly,This boss abuses his workers; She is always stepping on others to get ahead,mistreat.v.01
abuses,6,a,s,True,7,n,cruel or inhumane treatment,the child showed signs of physical abuse,maltreatment.n.01
abusive,7,a,e,True,2,s,expressing offensive reproach,,abusive.s.01
abysmal,7,a,l,True,2,s,very great; limitless,abysmal misery; abysmal stupidity,abysmal.s.01
abyss,5,a,s,True,1,n,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively),,abyss.n.01
acacia,6,a,a,True,1,n,any of various spiny trees or shrubs of the genus Acacia,,acacia.n.01
academy,7,a,y,True,4,n,a secondary school (usually private),,academy.n.01
acadia,6,a,a,True,1,n,the French-speaking part of the Canadian Maritime Provinces,,acadia.n.01
accede,6,a,e,True,3,v,yield to another's wish or opinion,The government bowed to the military pressure,submit.v.06
acceded,7,a,d,True,3,v,yield to another's wish or opinion,The government bowed to the military pressure,submit.v.06
accent,6,a,t,True,7,n,distinctive manner of oral expression,he couldn't suppress his contemptuous accent; she had a very clear speech pattern,accent.n.01
accents,7,a,s,True,7,n,distinctive manner of oral expression,he couldn't suppress his contemptuous accent; she had a very clear speech pattern,accent.n.01
accept,6,a,t,True,11,v,consider or hold as true,I cannot accept the dogma of this church; accept an argument,accept.v.01
accepts,7,a,s,True,11,v,consider or hold as true,I cannot accept the dogma of this church; accept an argument,accept.v.01
access,6,a,s,True,8,n,the right to enter,,entree.n.02
acclaim,7,a,m,True,3,n,enthusiastic approval,the book met with modest acclaim; he acknowledged the plaudits of the crowd; they gave him more eclat than he really deserved,acclaim.n.01
accord,6,a,d,True,6,n,harmony of people's opinions or actions or characters,the two parties were in agreement,agreement.n.03
accords,7,a,s,True,6,n,harmony of people's opinions or actions or characters,the two parties were in agreement,agreement.n.03
account,7,a,t,True,14,n,a record or narrative description of past events,a history of France; he gave an inaccurate account of the plot to kill the president; the story of exposure to lead,history.n.02
accrued,7,a,d,True,3,v,grow by addition,The interest accrues,accrue.v.01
accrues,7,a,s,True,2,v,grow by addition,The interest accrues,accrue.v.01
accuse,6,a,e,True,2,v,bring an accusation against; level a charge against,The neighbors accused the man of spousal abuse,accuse.v.01
accused,7,a,d,True,3,n,a defendant in a criminal proceeding,,accused.n.01
accuses,7,a,s,True,2,v,bring an accusation against; level a charge against,The neighbors accused the man of spousal abuse,accuse.v.01
ace,3,a,e,True,11,n,the smallest whole number or a numeral representing this number,he has the one but will need a two and three to go with it; they had lunch at one,one.n.01
aces,4,a,s,True,10,n,the smallest whole number or a numeral representing this number,he has the one but will need a two and three to go with it; they had lunch at one,one.n.01
acetate,7,a,e,True,2,n,a salt or ester of acetic acid,,acetate.n.01
acetone,7,a,e,True,1,n,the simplest ketone; a highly inflammable liquid widely used as an organic solvent and as material for making plastics,,acetone.n.01
ache,4,a,e,True,4,n,a dull persistent (usually moderately intense) pain,,ache.n.01
ached,5,a,d,True,3,v,feel physical pain,Were you hurting after the accident?,hurt.v.06
aches,5,a,s,True,4,n,a dull persistent (usually moderately intense) pain,,ache.n.01
acheson,7,a,n,True,1,n,United States statesman who promoted the Marshall Plan and helped establish NATO (1893-1971),,acheson.n.01
achieve,7,a,e,True,1,v,to gain with effort,she achieved her goal despite setbacks,achieve.v.01
aching,6,a,g,True,5,n,a dull persistent (usually moderately intense) pain,,ache.n.01
acid,4,a,d,True,5,n,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,,acid.n.01
acidity,7,a,y,True,3,n,the property of being acidic,,sourness.n.02
acids,5,a,s,True,2,n,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,,acid.n.01
acolyte,7,a,e,True,1,n,someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches,,acolyte.n.01
acorns,6,a,s,True,1,n,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base,,acorn.n.01
acquire,7,a,e,True,7,v,come into the possession of something concrete or abstract,She got a lot of paintings from her uncle; They acquired a new pet; Get your results the next day; Get permission to take a few days off from work,get.v.01
acre,4,a,e,True,3,n,a unit of area (4840 square yards) used in English-speaking countries,,acre.n.01
acreage,7,a,e,True,1,n,an area of ground used for some particular purpose (such as building or farming),he wanted some acreage to build on,acreage.n.01
acres,5,a,s,True,4,n,extensive landed property (especially in the country) retained by the owner for his own use,the family owned a large estate on Long Island,estate.n.02
acrid,5,a,d,True,2,s,strong and sharp,the pungent taste of radishes; the acrid smell of burning rubber,pungent.s.01
across,6,a,s,True,2,r,to the opposite side,the football field was 300 feet across,across.r.01
acrylic,7,a,c,True,4,n,polymerized from acrylonitrile,,acrylic_fiber.n.01
acs,3,a,s,True,2,n,a radioactive element of the actinide series; found in uranium ores,,actinium.n.01
act,3,a,t,True,15,n,a legal document codifying the result of deliberations of a committee or society or legislative body,,act.n.01
acted,5,a,d,True,10,v,"perform an action, or work out or perform (an action)",think before you act; We must move quickly; The governor should act on the new energy bill; The nanny acted quickly by grabbing the toddler and covering him with a wet towel,act.v.01
acth,4,a,h,True,1,n,a hormone produced by the anterior pituitary gland that stimulates the adrenal cortex,,adrenocorticotropic_hormone.n.01
acting,6,a,g,True,12,n,the performance of a part or role in a drama,,acting.n.01
action,6,a,n,True,12,n,something done (usually as opposed to something said),there were stories of murders and other unnatural actions,action.n.01
actions,7,a,s,True,12,n,something done (usually as opposed to something said),there were stories of murders and other unnatural actions,action.n.01
active,6,a,e,True,17,n,chemical agent capable of activity,,active_agent.n.01
actives,7,a,s,True,3,n,chemical agent capable of activity,,active_agent.n.01
actor,5,a,r,True,2,n,a theatrical performer,,actor.n.01
actors,6,a,s,True,2,n,a theatrical performer,,actor.n.01
actress,7,a,s,True,1,n,a female actor,,actress.n.01
acts,4,a,s,True,16,n,a New Testament book describing the development of the early church from Christ's Ascension to Paul's sojourn at Rome,,acts_of_the_apostles.n.01
actual,6,a,l,True,5,a,presently existing in fact and not merely potential or possible,the predicted temperature and the actual temperature were markedly different; actual and imagined conditions,actual.a.01
actuate,7,a,e,True,2,v,put in motion or move to act,trigger a reaction; actuate the circuits,trip.v.04
acumen,6,a,n,True,2,n,a tapering point,,acumen.n.01
acute,5,a,e,True,7,n,a mark (') placed above a vowel to indicate pronunciation,,acute_accent.n.01
acutely,7,a,y,True,4,r,in an acute manner,she pitied her sister acutely; acutely aware,acutely.r.01
ad-lib,6,a,b,True,4,n,remark made spontaneously without prior preparation,his ad-libs got him in trouble with the politicians,ad-lib.n.01
ada,3,a,a,True,1,n,an enzyme found in mammals that can catalyze the deamination of adenosine into inosine and ammonia,ADA deficiency can lead to one form of severe combined immunodeficiency disease; the gene encoding ADA was one of the earlier human genes to be isolated and cloned for study,adenosine_deaminase.n.01
adage,5,a,e,True,1,n,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people,,proverb.n.01
adagio,6,a,o,True,4,n,(music) a composition played in adagio tempo (slowly and gracefully),they played the adagio too quickly,adagio.n.01
adagios,7,a,s,True,2,n,(music) a composition played in adagio tempo (slowly and gracefully),they played the adagio too quickly,adagio.n.01
adam,4,a,m,True,3,n,(Old Testament) in Judeo-Christian mythology; the first man and the husband of Eve and the progenitor of the human race,,adam.n.01
adamant,7,a,t,True,2,n,very hard native crystalline carbon valued as a gem,,diamond.n.02
adams,5,a,s,True,7,n,American Revolutionary leader and patriot; an organizer of the Boston Tea Party and signer of the Declaration of Independence (1722-1803),,adams.n.01
adapt,5,a,t,True,2,v,"make fit for, or change to suit a new purpose",Adapt our native cuisine to the available food resources of the new country,adapt.v.01
adapted,7,a,d,True,3,v,"make fit for, or change to suit a new purpose",Adapt our native cuisine to the available food resources of the new country,adapt.v.01
adapter,7,a,r,True,2,n,a musician who adapts a composition for particular voices or instruments or for another style of performance,,arranger.n.02
add,3,a,d,True,7,n,a condition (mostly in boys) characterized by behavioral and learning disorders,,attention_deficit_disorder.n.01
add-on,6,a,n,True,2,n,a component that is added to something to improve it,the addition of a bathroom was a major improvement; the addition of cinnamon improved the flavor,addition.n.01
added,5,a,d,True,6,v,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",We added two students to that dorm room; She added a personal note to her letter; Add insult to injury; Add some extra plates to the dinner table,add.v.01
addict,6,a,t,True,3,n,someone who is so ardently devoted to something that it resembles an addiction,a golf addict; a car nut; a bodybuilding freak; a news junkie,addict.n.01
addicts,7,a,s,True,3,n,someone who is so ardently devoted to something that it resembles an addiction,a golf addict; a car nut; a bodybuilding freak; a news junkie,addict.n.01
adding,6,a,g,True,6,v,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",We added two students to that dorm room; She added a personal note to her letter; Add insult to injury; Add some extra plates to the dinner table,add.v.01
address,7,a,s,True,18,n,(computer science) the code that identifies where a piece of information is stored,,address.n.01
adds,4,a,s,True,7,n,a condition (mostly in boys) characterized by behavioral and learning disorders,,attention_deficit_disorder.n.01
adduce,6,a,e,True,1,v,advance evidence for,,adduce.v.01
ade,3,a,e,True,1,n,a sweetened beverage of diluted fruit juice,,fruit_drink.n.01
adept,5,a,t,True,2,n,someone who is dazzlingly skilled in any field,,ace.n.03
adhere,6,a,e,True,6,v,be compatible or in accordance with,You must adhere to the rules,adhere.v.01
adhered,7,a,d,True,6,v,be compatible or in accordance with,You must adhere to the rules,adhere.v.01
adheres,7,a,s,True,6,v,be compatible or in accordance with,You must adhere to the rules,adhere.v.01
adieu,5,a,u,True,1,n,a farewell remark,they said their good-byes,adieu.n.01
adios,5,a,s,True,1,n,a farewell remark,they said their good-byes,adieu.n.01
adjoins,7,a,s,True,3,v,lie adjacent to another or share a boundary,Canada adjoins the U.S.; England marches with Scotland,border.v.05
adjunct,7,a,t,True,5,n,something added to another thing but not an essential part of it,,adjunct.n.01
adjust,6,a,t,True,5,v,alter or regulate so as to achieve accuracy or conform to a standard,"Adjust the clock, please; correct the alignment of the front wheels",adjust.v.01
adjusts,7,a,s,True,5,v,alter or regulate so as to achieve accuracy or conform to a standard,"Adjust the clock, please; correct the alignment of the front wheels",adjust.v.01
admire,6,a,e,True,2,v,feel admiration for,,admire.v.01
admired,7,a,d,True,3,v,feel admiration for,,admire.v.01
admirer,7,a,r,True,3,n,a person who backs a politician or a team etc.,all their supporters came out for the game; they are friends of the library,supporter.n.01
admires,7,a,s,True,2,v,feel admiration for,,admire.v.01
admit,5,a,t,True,8,v,declare to be true or admit the existence or reality or truth of,He admitted his errors; She acknowledged that she might have forgotten,admit.v.01
admits,6,a,s,True,8,v,declare to be true or admit the existence or reality or truth of,He admitted his errors; She acknowledged that she might have forgotten,admit.v.01
admixed,7,a,d,True,1,v,mix or blend,Hyaline casts were admixed with neutrophils,admix.v.01
ado,3,a,o,True,1,n,a rapid active commotion,,bustle.n.01
adobe,5,a,e,True,2,n,the clay from which adobe bricks are made,,adobe.n.01
adonis,6,a,s,True,3,n,any handsome young man,,adonis.n.01
adopt,5,a,t,True,7,v,"choose and follow; as of theories, ideas, policies, strategies or plans",She followed the feminist movement; The candidate espouses Republican ideals,adopt.v.01
adopted,7,a,d,True,8,v,"choose and follow; as of theories, ideas, policies, strategies or plans",She followed the feminist movement; The candidate espouses Republican ideals,adopt.v.01
adopts,6,a,s,True,7,v,"choose and follow; as of theories, ideas, policies, strategies or plans",She followed the feminist movement; The candidate espouses Republican ideals,adopt.v.01
adore,5,a,e,True,1,v,love intensely,he just adored his wife,adore.v.01
adored,6,a,d,True,2,v,love intensely,he just adored his wife,adore.v.01
adores,6,a,s,True,1,v,love intensely,he just adored his wife,adore.v.01
adorn,5,a,n,True,3,v,"make more attractive by adding ornament, colour, etc.",Decorate the room for the party; beautify yourself for the special day,decorate.v.01
adorned,7,a,d,True,4,v,"make more attractive by adding ornament, colour, etc.",Decorate the room for the party; beautify yourself for the special day,decorate.v.01
adorns,6,a,s,True,3,v,"make more attractive by adding ornament, colour, etc.",Decorate the room for the party; beautify yourself for the special day,decorate.v.01
adrenal,7,a,l,True,3,n,either of a pair of complex endocrine glands situated near the kidney,,adrenal_gland.n.01
adrian,6,a,n,True,2,n,Roman Emperor who was the adoptive son of Trajan; travelled throughout his empire to strengthen its frontiers and encourage learning and architecture; on a visit to Britain in 122 he ordered the construction of Hadrian's Wall (76-138),,hadrian.n.01
adrift,6,a,t,True,4,s,aimlessly drifting,,adrift.s.01
adroit,6,a,t,True,1,a,quick or skillful or adept in action or thought,an exceptionally adroit pianist; an adroit technician; his adroit replies to hecklers won him many followers; an adroit negotiator,adroit.a.01
ads,3,a,s,True,1,n,a public promotion of some product or service,,ad.n.01
adsorbs,7,a,s,True,1,v,accumulate (liquids or gases) on the surface,,adsorb.v.01
adult,5,a,t,True,4,n,a fully developed person from maturity onward,,adult.n.01
adults,6,a,s,True,2,n,a fully developed person from maturity onward,,adult.n.01
advance,7,a,e,True,20,n,a movement forward,he listened for the progress of the troops,progress.n.03
advent,6,a,t,True,3,n,arrival that has been awaited (especially of something momentous),the advent of the computer,advent.n.01
adverb,6,a,b,True,2,n,the word class that qualifies verbs or clauses,,adverb.n.01
adverbs,7,a,s,True,2,n,the word class that qualifies verbs or clauses,,adverb.n.01
adverse,7,a,e,True,2,s,contrary to your interests or welfare,adverse circumstances; made a place for themselves under the most untoward conditions,adverse.s.01
advice,6,a,e,True,1,n,a proposal for an appropriate course of action,,advice.n.01
advise,6,a,e,True,3,v,give advice to,The teacher counsels troubled students; The lawyer counselled me when I was accused of tax fraud,rede.v.02
advised,7,a,d,True,5,v,give advice to,The teacher counsels troubled students; The lawyer counselled me when I was accused of tax fraud,rede.v.02
adviser,7,a,r,True,1,n,an expert who gives advice,an adviser helped students select their courses; the United States sent military advisors to Guatemala,adviser.n.01
advises,7,a,s,True,3,v,give advice to,The teacher counsels troubled students; The lawyer counselled me when I was accused of tax fraud,rede.v.02
advisor,7,a,r,True,1,n,an expert who gives advice,an adviser helped students select their courses; the United States sent military advisors to Guatemala,adviser.n.01
aec,3,a,c,True,1,n,a former executive agency (from 1946 to 1974) that was responsible for research into atomic energy and its peacetime uses in the United States,,atomic_energy_commission.n.01
aegean,6,a,n,True,3,n,an arm of the Mediterranean between Greece and Turkey; a main trade route for the ancient civilizations of Crete and Greece and Rome and Persia,,aegean.n.01
aegis,5,a,s,True,2,n,kindly endorsement and guidance,the tournament was held under the auspices of the city council,auspices.n.01
aeon,4,a,n,True,3,n,(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe,,eon.n.03
aerate,6,a,e,True,3,v,expose to fresh air,aerate your old sneakers,air_out.v.01
aerated,7,a,d,True,5,v,expose to fresh air,aerate your old sneakers,air_out.v.01
aerates,7,a,s,True,3,v,expose to fresh air,aerate your old sneakers,air_out.v.01
aerator,7,a,r,True,1,n,an apparatus for exposing something to the air (as sewage),,aerator.n.01
aerial,6,a,l,True,4,n,a pass to a receiver downfield from the passer,,forward_pass.n.01
aerials,7,a,s,True,2,n,a pass to a receiver downfield from the passer,,forward_pass.n.01
aerobic,7,a,c,True,2,a,depending on free oxygen or air,aerobic fermentation,aerobic.a.01
aerosol,7,a,l,True,2,n,a cloud of solid or liquid particles in a gas,,aerosol.n.01
afar,4,a,r,True,1,r,(old-fashioned) at or from or to a great distance; far,we traveled afar; we could see the ship afar off; the Magi came from afar,afar.r.01
affable,7,a,e,True,1,s,diffusing warmth and friendliness,an affable smile; an amiable gathering; cordial relations; a cordial greeting; a genial host,affable.s.01
affair,6,a,r,True,3,n,a vaguely specified concern,several matters to attend to; it is none of your affair; things are going well,matter.n.01
affaire,7,a,e,True,1,n,a usually secretive or illicit sexual relationship,,affair.n.02
affairs,7,a,s,True,5,n,matters of personal concern,get his affairs in order,personal_business.n.01
affect,6,a,t,True,6,n,the conscious subjective aspect of feeling or emotion,,affect.n.01
affects,7,a,s,True,6,n,the conscious subjective aspect of feeling or emotion,,affect.n.01
affirm,6,a,m,True,3,v,establish or strengthen as with new evidence or facts,his story confirmed my doubts; The evidence supports the defendant,confirm.v.01
affirms,7,a,s,True,3,v,establish or strengthen as with new evidence or facts,his story confirmed my doubts; The evidence supports the defendant,confirm.v.01
affix,5,a,x,True,4,n,a linguistic element added to a word to produce an inflected or derived form,,affix.n.01
affixed,7,a,d,True,4,v,attach to,affix the seal here,affix.v.01
afford,6,a,d,True,4,v,be able to spare or give up,I can't afford to spend two hours with this person,afford.v.01
affords,7,a,s,True,4,v,be able to spare or give up,I can't afford to spend two hours with this person,afford.v.01
